baiTamaina banAma suparamaina	batman vs superman
yaha vAstava meM Apako caritra ke bAre meM acchA mahasUsa karAtA hai	vAkya meM usakA character ache haiM
sahI hai, yahAM taka ki khalanAyakoM eka acchA pakSa hai	hAM . sArI villains ko yeka side achI hai hotI
mere beTe ne socA ki caMdramA jahAja ke sAtha vistAra kara rahA thA itanA maz2edAra thA	mere beTe ko lagA ki usa ship se vaha moon bhI expand ho rahA haiM .. kitanA funny haiM yAra
vaha kaha rahA thA ki sikur3ane kA asara khatma ho jAegA	vaha bola rahA thA ki are vo to shrink ho jA rahA haiM
phira unhoMne socA ki grU ko vekTara ko caMdramA se bAhara nikAlane meM madada karanI cAhie	phira usane socA ki guru ko vector para try karanA cAhie usa moon ko off karane pe
hA~. aba maiM philma phira se dekhanA cAhatA hU~!	hA~ ... aba vAkya meM mujhe isa movie ko dekha cAhie
maiM bhI. ina sabhI varSoM ke bAda phira se mere beTe ke sAtha ise dekho	mujhe bhI ... maiM to apane beTe ke sAtha hI dekhUMgA
dekheM ki kyA vaha abhI bhI philma se bAhara eka kika milatA hai ke bAda se vaha eka kizorI aba hai	dekhalo . agara vo movie se kikaAuTa bhI mAra sakatA , kyoM ki vaha aba bhI teenager hI hai
hA~, lar3akiyA~ bhI isameM bahuta acchI haiM	hA~ .. girls tho great hai
isalie sabhI liMgoM ko isakA AnaMda lenA cAhie!	sabhI genders enjoy kareMge yAra
hailo! hailo!	Hello ! namaskAra !
kyA Apane Catch Me If You Can dekhA hai?	kyA Apane Catch mI If You Can dekhA hai ?
nahIM, maiM nahIM kiyA hai!	nahIM , maiMne nahIM !
yaha bahuta acchA hai. maiM eka bar3A liyonArDo DiCapario prazaMsaka hU~. kyA Apa use pasaMda karate haiM?	yaha bahuta acchA hai . meM Leonardo Dikaॉpariyo kA eka bar3A fan hU~ . kyA Apa use pasaMda karate haiM ?
maiM use bahuta AkarSaka aura pratibhAzAlI pAtA hU~!	I do ! mujhe vaha bahuta attractive aura talented lagatA hai !
yaha eka asalI dhokhebAja kI kahAnI para AdhArita hai|	yaha real kauna man kI story para based hai .
oha vAstava meM!	really me !
yaha dilacaspa lagatA hai!	bar3A interesting sound kara rahA hai
isameM aura kauna hai?	aura kauna hai isameM ?
Taॉma haiMksa aura krisTophara vaॉkana|	Tom Hanks aura Christopher Walken
isake alAvA emI eDamsa, hAlAMki maiM use acchI taraha se patA nahIM hai.	Also Amy Adams , vaise maiM use acche se jAnatA nahIM hU~ .
oha, mujhe phaॉresTa gaMpa meM Taॉma haiMksa bahuta pasaMda thA!	oh wow , mujhe Tom Hanks bahuta pasaMda AyA thA Forest gampa meM !
usane parI kathA ke pAtroM ke sAtha bahuta sI philmeM kI haiM|	usane bahuta sArI movies kI fairy tale characters vAlI
isa philma ko raॉTana TamATara se 98% milA hai|	isa movie ko 98 % rating hai Rotten Tomatoes para .
oha yaha acchA hai!	oh ye to ache haiM
mujhe yaha pasaMda AyA kyoMki yaha khuda ko bahuta gaMbhIratA se nahIM letA thA| yaha vAstava meM bahuta maz2edAra hai|	mujhe bahuta pasaMda haiM kyoM ki yaha serious nahIM letA . yaha actually funny haiM
oha, yaha philma kA sabase acchA prakAra hai!	oh to yaha ac movie haiM
yaha kaba bAhara AyA thA?	kaba ye AyA ?
maiM hairAna hU~ kyoMki maiMne isake bAre meM nahIM sunA hai	mujhe to shocked havA jaba maiM sunanI to
san 2002	2002 me
oha vAha! eka purAnI to!	acchA ye to oldie haiM
mujhe lagatA hai ki Apa aisA kaha sakate haiM|	maiM bhI guess karatA
Apa zAyada ise neTaphliksa para dekha sakate haiM|	kyA yaha netflix meM dekha sakate ?
oha, yaha mere lie bahuta AsAna hai!	oh , to yaha easy haiM mere lie
maiM vyasta hU~ isalie mere pAsa philmoM meM jAne kA samaya nahIM hai	maiM busy hUM isalie mujhe movies meM jAne ke lie vakta nahIM hai
jahAM maiM rahatA hU~, kucha bhI acchA kabhI nahIM khelatA hai|	jahA~ maiM rahatA hU~ , vahama achi plays nahIM AtA
oha yaha durbhAgyapUrNa hai.	oh durbhAgya
mujhe yaha pasaMda hai ki yaha eka vAstavika caritra para AdhArita hai| eka biMdu para vaha 2.8 miliyana Daॉlara curAtA hai|	us real character mujhe achI lagI . eka samaya vaha 2.8 million dollars corI karatA haiM
oha, maiM bhUla gayA thA. sTIvana spilabarga nirdezaka hai.	Oh , maiM bhUla gayA . steven Spielberg director haiM
oha yaha acchA hai!	yaha acchA hai
maiM sirpha bhaviSya ke lie vApasa phira se dekhA	maiM bhaviSya ko eka bAra dekhA
vaha	vaha
vaha eka adbhuta nirdezaka hai	vaha eka gajaba kA director haiM
maiM sahamata hU~. Apa usakI philmoM meM se eka ke sAtha galata nahIM jA sakate haiM.	usa ke movies kabhI kharAba ho nahIM sakatA
jaॉna AparAdhika aMDaravarlDa meM lauTatA hai	John phira se criminal underworld meM A gayA
mujhe Azcarya hai ki agara yaha usakI patnI kI mRtyu se Trigara kiyA gayA thA.	mujhe Azcarya huA ki vaha usakI wife kI death se trigger huA
yaha dilacaspa hai	vaha interesting hai
philma romAMcaka lagatI hai	Movie kA sound exciting thA
hA~ bahuta dilacaspa hai	hai bahuta interesting
kyA Apa kInU rIvsa ke prazaMsaka haiM?	kyA Apa keenayU reeves kA fan ho ?
yaha eka ekzana thrilara philma hai| mujhe ekzana thrilara bahuta pasaMda haiM|	yaha to action thriller movie hèM . mujhe action thrillers kA pasaMda haiM
mujhe bhI. mujhe rahasya aura sAhasika philmeM bhI pasaMda haiM|	mujhe bhI . mujhe mystery aura adventure movies ko pasaMda haiM
Apa philma dekhane kI yojanA kaba banA rahe haiM? yA Apane ise pahale hI dekha liyA hai?	kaba movie dekhane plan karate ? yA tuma already dekha liye haiM kyA ?
yaha philma eka anuvartI ke lAyaka hai	isa movies ko follow up karanA to deserves haiM
maiM sahamata hU~	maiM mAnatA hU~
pratizodha thrilara tIvra hote haiM	revenge thrillers to baDI intense haiM
hA~ ve kara rahe haiM.	hA~ vo to haiM
yaha kevala 6.9/10 hmmm mila gayA	Apa 6.9 / 10 hai milA
vAha. maiM hairAna hU~.	acchA bar3I surprised havA
2014 meM banAyA gayA| thor3A purAnA|	2014 ko banA hai . thor3A purAnA hai
oha ThIka hai. jAnane ke lie acchA hai.	ThIka haiM.jAnakara acchA lagA .
maiMne socA thA ki yaha nayA thA	mere ko vicAra AyA ki yaha nahIM hai
mujhe yAda hai jaba Trelara bAhara AyA thA|	mujhe yAda hai jaba yaha trailer bAhara AyA
isake cAroM ora bahuta pracAra thA|	Eske Asa pAsa bahuta hype hai .
jo kisI priyajana kI mRtyu ke bAda aparAdha meM lauTatA hai hammama	Crime kI tarapha kauna jAegA jaba kisI apane kI death ho jAe
koI bhI apane sahI dimAga meM.	yahAM koI bhI sahI mind kA nahIM hai
mujhe patA honA cAhie thA oha badalA lene ke lie	mujhe vengeance ko dekara jAnakArI milI
hA~. badalA kucha logoM ke lie eka acchA kAraNa ho sakatA hai.	kucha logoM kelie badala acchA kAraNa hotA hai .
unhoMne usakI kAra curA lI aura usake pillA ko mAra DAlA, mRta patnI se eka upahAra|	ina saba ne kAra ko chir3I kiyA aura puppy ko mAra DAlA jo usakI marI huI bIvI ne diyA thA .
vAha. TI TopI burI hai.	vaha vaha acchA nahIM
maiM philmoM meM yAtanA se napharata hai, hAlAMki	meM MOVIES meM yAtanA denA pasaMda nahIM karatA
hA~. yaha bahuta apriya hai.	sahI haiM.yaha eka achI bAta nahIM hai
mujhe ekzana pasaMda hai, hAlAMki lar3anA pasaMda hai	mujhe action aura lar3AI pasaMda haiM .
hA~, maiM bhI.	mujhe bhI
yaha bhUmikA zAyada kInU ke lie itanI acchI taraha se phiTa	is role kehanue karane se acchA ho sakatA haiM
mujhe lagatA hai ki. vaha eka abhinetA ke rUpa meM acchI taraha se karatA hai.	maiM bhI aisA soca tA hU~ . vaha eka acchA ACTOR haiM
kyA Apane yaha filma dekhI hai?	Apa movie dekhA hai ?
maiM sirpha yaha dekhA.	ha , maiMne abhI kucha dera pahale dekhA hU~ .
kyA tumane ise dekhA hai?	Apa dekhA hai ?
nahIM, maiM Amataura para beneDikTa Cumberpatch ke sAtha sAmAna pasaMda hai, hAlAMki.	nahIM , maiM Benedict cumberpatch jaisI movie dekhatA hU~
yaha eka romAMcaka philma thI. elana TyUriMga ke jIvana para AdhArita.	vaha bar3A romAMcakArI movie thA.vo Alan Turing ke jIvana ke bAre meM thA
hAlAMki kIrA nAiTalI mujhe thor3A parezAna karatI hai|	Keira Knightly mujhe achI nahIM lagatA
kambarabaika vAstava meM philma kA mukhya AkarSaNa thA	Cumberbach film ke mukhya AkarSaNa thA .
acchI samIkSA milI, sar3e hue TamATara zAyada hI kabhI 90% se adhika jAte haiM aisA lagatA hai|	acchA samekana mile , rotten tomatos ko 90 % ke Upara samIkSAoM nahIM milA
elana TyUriMga kauna hai?	Alan Turing kauna hai
saca hai. meTAkriTika ne unheM 73/100. TyUriMga eka gaNitajJa the jo dvitIya vizva yuddha ke daurAna jarmanoM ke khilApha aMgrejoM ke lie eka kripTovizleSaka the. vaha enigmA koDa ko tor3ane ke lie prasiddha haiM.	saca haiM yAra , metacritic ne 73/100 diyA thA . turning to mathematician haiM jo british ke lie cryptanalyst bane the taba wwii sArI germans ke against the . aura vo enigma code ko break karane meM famous haiM .
use pulisa dvArA eka jAsUsa ke rUpa meM ujAgara kiyA gayA thA jo usake ghara meM eka tor3aphor3a kI jAMca kara rahe the|	vaha to spy the aura police ke lie investigate kara rahI thI , jo unakA ghara break hogayA thA
nizcita rUpa se yaha dekhate haiM agara Apa eka maukA milatA hai.	jarUra dekha nA agara Apako chance milA to
nATaka Amataura para mujhe UbAte haiM, kaI ullekhanIya apavAdoM ke sAtha| mujhe jyAdAtara kaॉmeDI yA phaMtAsI, vijJAna kathA pasaMda haiM| maiM ise dekhUMgA, hAlAMki, sabhI meM maiM sirpha philmoM se pyAra karatA hUM!	vaha drama to bure lagane lage usameM jyAdA note worthy exceptions tA . mujhe comedies aura fantasy pasaMda AyA especially sci-fi . meM check kara lUMgA , overall mujhe movies pasaMda haiM
eka dilacaspa AdamI kI taraha lagatA hai, nizcita rUpa se yaha eka ghar3I de deMge.	lagatA haiM interest se rahegA , jarUra meM watch karU~gA
yaha vAstava meM eka jAsUsI philma kI taraha hai| yaha kAphI romAMcaka hai| mujhe lagatA hai ki borDiMga skUla meM unake anubhavoM aura unake saMrakSaka maॉrakama ke sAtha adhyayana karane ke sAtha kucha nATaka hai|	hAM yAra ye to espionage movie nikalA . bahut excite haiM usameM . mujhe lagatA haiM ki usameM kucha drama apanI boarding school kA experiences meM se likhA hogA aura moron meM par3ane se likhA hogA jo usakA mentor thA
mujhe lagatA hai ki Apa isakA AnaMda leMge|	mujhe lagA ki to enjoy karegA
maॉrTana TAyalDama eka mahAna nirdezaka haiM|	morton tyldum bahuta bar3hiyA director haiM
eMDrayU anudAna aura ki raga vijJAna samAcAra yaha sahI kabhI nahIM milatA hai, agara vaha yaha pasaMda AyA maiM zAyada yaha napharata kareMge.	vaha andrew grant aura usakA rAga science kA news kabhI bhI right nahIM hotA , agara vaha use pasaMda AyA to maiM use haTe karU~gA
haॉlIvuDa riporTara Cumberpatch ke rUpa meM maiM kara rahA hU~ ke rUpa meM priya laga rahA hai.	vaha hollywood reporter to cumberpatch nikalA , jaise maiM hU~ .
yaha eka taraha se takanIkI hai| yaha koDa ko tor3ane ke lie apanI mazIna ke bAre meM bahuta gaharAI se jAtA hai| jaba use ehasAsa hotA hai ki vaha ise una zabdoM ke sAtha progrAma kara sakatA hai jo vaha pahale se jAnatA hai| Apa zAyada isakA AnaMda leMge|	yaha technical type kA hai , code break karane ke lie machine meM bahuta dIpa jAna par3atA hai . use eka breakthrough milatA hai jaba use yaha realize hotA hai ki vaha use pahale se mAlUma words se vaha isa program kara sakatA hai . tuma enjoy karoge isa .
kambarabaika eka mahAna kAma kara rahA hai|	kamal kI acting kI hai Cumberbach ne .
saccI kahAniyoM para AdhArita ye kahAniyAM hamezA ise dilacaspa rakhane ke lie bahuta sArI cIjeM jor3atI haiM jo merI rAya meM itihAsa ko vikRta karatI haiM|	merI opinion meM true stories pe based yaha story hamezA history ko distort karatI haiM use interesting banAne ke lie .
kIrA nAiTalI se zAdI karane ke bAre meM hissA Apake lie kaSTaprada ho sakatA hai yadi Apa usake abhinaya ke lie pakSapAtI nahIM haiM| maiM Apako usa saba ke bAre meM cetAvanI de sakatA hUM|	Keira Knightley se marriage ko lekara jo vAkya hai , vaha thor3A annoying hai agara Apa usake acting ko leke thor3I favorable nahIM hai to . tumheM isake bAre meM varana kara rahA hU~ .
yaha dilacaspa hai kyoMki yaha philma eka nATaka para AdhArita hai jo eka pustaka para AdhArita hai jo unake jIvana para AdhArita hai|	interesting bAta yaha hai ki yaha movie usa play para based hai , jo usake life para likhI book para base haiM . tumhAre point dekha sakatA hU~ maiM .
maiM zAyada philma ke takanIkI pahaluoM, acche abhinaya aura yahAM taka ki Adhe-adhUre kahAnI kA AnaMda lUMgA!	maiM probably film ke technical aspect ko enjoy karU~ , bar3hiyA acting , aura half cooked story .
mujhe yaha bhI lagatA hai ki jahAM yaha eka gaNitajJa ke bAre meM eka philma hai, yaha kucha kathAnaka tatvoM meM jor3ane meM madada karatA hai| mujhe lagatA hai ki yaha asAmAnya hai hAlAMki kyoMki usakA jIvana itanA dilacaspa thA|	I think also yaha movie eka mathematician ke bAre meM hai , plot meM thor3I elements DAlanA helpful hai . para mujhe yaha unusual lagA kyoMki usake life to vaise hI itanI interesting hai .
isameM kucha jAsUsI bhI zAmila hai| mujhe lagatA hai ki maiM ise kharAba nahIM kara rahA hUM kyoMki yaha itihAsa hai, lekina isameM kucha rUsI milIbhagata zAmila hai|	isameM espionage kA angle bhI involve haiM . I suppose maiM kucha spoil nahIM kara rahA hU~ kyoMki yaha history hai , but kucha Russian secret bhI involved hai .
agara vaha Keira Knightly se zAdI karatA hai maiM apane TI.vI. para cillA rahA ho sakatA hai	agara vaha Keira knightly se marriage karegA to maiM zAyada TI . vc . para hI shout karane lAgU .
bar3A nATaka jaba TyUriMga rUsiyoM kA sAmanA karatA hai|	bar3A drama huA jaba Turning Russians ko confront karatA hai .
hA~ Apa bhayAvaha romAMsa ke mAdhyama se tejI se Age bar3hanA hogA. yaha itanA burA nahIM hai, hAlAMki.	hAM , Apako phurtIlA romaans ke mAdhyama se Age bar3hanA hogA . yA hAlAMki itanA burA nahIM hai .
vaha bArIka hai, bilkula, lekina nirdezaka yaha yahA~ kAma karatA hai.	vaha bilkula trait hai , lekina nirdeshak ise yahA~ kAma karate haiM .
isake alAvA, yaha patA calA hai ki vaha samalaiMgika hai!	yaha bhI patA calA ki vaha samalaiMgika hai !
to vaha milatA hai ki vaha kyA hakadAra hai.	isalie use vaha milatA hai jisakA vaha hakadAra hai .
Apa vAstava meM ise pasaMda kara sakate haiM.	Apa ise pasaMda kara sakate haiM .
mujhe vAstava meM vaha hissA nahIM milA, lekina kauna samalaiMgikoM ko samajha sakatA hai?	mujhe vAstava meM vaha hissA nahIM milA , lekina samalaiMgikoM ko kauna samajha sakatA hai ?
khaira, ki yaha mujhe aura adhika AmaMtrita karatA hai, kIrA nAiTalI ko yaha patA lagAne ke lie dukhI honA cAhie!	khaira , yaha thor3I ise aura adhika mere lie AmaMtrita karatA hai , kera naiTalI ko yaha patA lagAne ke lie dukhI honA cAhie !
hA~ mujhe lagatA hai ki vaha kAphI parezAna thA. jaisA ki maiMne kahA maiM vAstava meM yaha saba samajha meM nahIM AyA. maiM jyAdAtara gaNita ke lie isameM thA. kyA eka dilacaspa, AkarSaka kahAnI.	hA~ , mujhe lagatA hai ki vaha bahuta parezAna the . jaisA maiMne kahA ki maiM vAstava meM usa saba ko samajha nahIM pAyA hU~ . meM jyAdAtara gaNita ke lie isameM thA . kyA dilacaspa , AkarSaka kahAnI hai .
mujhe lagatA hai ki TyUriMga apane saMrakSaka yA kucha ke lie samalaiMgika thA, lekina vaha mara jAtA hai.	mujhe lagatA hai ki touring apane guru yA kucha aura ke lie samalaiMgika thA , lekina vaha mara jAtA hai .
suMdara mana kI taraha lagatA hai ki eka mahAna philma bhI thI!	suMdara dimAga kI taraha lagatA hai ki eka mahAna films thI , bhI !
tapedika|	Tuberculosis .
hA~ maiM suMdara mana pyAra kiyA. maiMne par3hA hai ki usa AdamI vAstava meM sarakAra ke lie kAma kara rahA thA.	hA~ Beautiful mind acchA lagA.maiMne par3A hai vaha government meM kAma karatA thA .
kahAnI badalane ke bAre meM bAta karo!	story badalane ke bAre meM batAo !
TyUriMga kI kahAnI kAphI dukhada hai| use borDiMga skUla meM bahuta dhamakAyA gayA thA| aisA lagatA hai ki isane use bahuta prabhAvita kiyA hai| bahuta burA hai ki vaha pyAra nahIM pA sakA| zAyada use kIrA nAiTalI ke alAvA kisI aura ke lie jAnA cAhie thA!	Turing kI story bahuta sad hai . usako boarding school meM bahuta bulle kiyA gayA.lagatA hai vaha bahuta affect hue . Too bad use love nahIM milA . Maybe use kIr3A Knightley ke alAvA kisI aura ko jAnA cAhie thA !
tuma use itanA kyoM nApasaMda karate ho?	kaise tuma use itanA dislike kara sakate ho ?
yaha hai kyoMki Apa loga DeTa karane ke lie istemAla kiyA hai?	kyA isalie ki tuma loga dating karate the ?
jyAdAtara sirpha TAiTainika meM usa DriphTavuDa ko jabta karane ke lie;)	Mostly driftwood ke hogging ke lie Titanic meM :)
oha hA~. maiMne kabhI nahIM dekhA hai ki eka.	Oh hAM . maiMne kabhI nahIM dekhA thA usako .
maiM use vAyarala, sAmAnya aura ahaMkArI pAtA hUM| maiM kevala apane Apa meM una guNoM kA AnaMda letA hUM|	mujhe vaha Wiry , trite aura egotistical lAgA . mujhe sirpha who qualities apane meM lagatA hai .
mujhe patA hai ki selina Diyona kA vaha gIta hai|	mujhe mAlUma hai vo song celine DAyona se hai .
hAhA yaha maz2edAra hai| mujhe yaha patA thA lekina maiM yaha nahIM kahanA cAhatA thA|	hai bahuta hI majedAra hai . hama ko mAlUma thA ki bAta karanA nahIM cAhate
vaha eka taraha se eka calatI phlaiTiTyUDa hai| rIsa vidaraspUna kI taraha, lekina adhika iMDiyAnA kama TeksAsa	vaha lar3akI calane vAlI sAdhAraNa hai . Reese Witherspoon kI taraha , lekina jyAdA indiana aura kama Texas
yA kucha aura	yaha kucha kucha
oha, yaha ThIka hai. maiM aMdhA nahIM hU~. hAlAMki 2 ghaMTe ke lie kIrA nAiTalI ko dekhane ke bAda maiM ho sakatA hai.	are ThIka hai . hama aMdhA nahIM hai . lekina do ghaMTe taka hama Keira Knightly ko dekhane ke bada , ho sakatA hai
phira bhI yaha kahAnI eka mahatvapUrNa kahAnI kI taraha lagatI hai jise batAyA jAnA cAhie, mujhe ise sunanA hogA|	phira bhI isa kahAnI aisA mahatva lagatA hai ki sabhI ko batAnA cAhie . hamako sunanA par3egA .
vaise bhI usane philma ko barbAda nahIM kiyA| agara kucha bhI, TyUriMga kA jIvana philma ko barbAda karatA hai| yaha sirpha dukha kI bAta hai ki use dhamakAyA jAtA hai aura samalaiMgika pyAra meM zaraNa letA hai| vaha basa kAma kara sakatA thA, kucha dosta banA sakatA thA, aura khuza ho sakatA thA| yaha eka bahuta hI mahatvapUrNa kahAnI hai| mujhe cArlsa DArvina yA pleTo ke jIvana kI yAda dilAtA hai|	Vise bhI usane philam ko barbAda nahIM kiyA . turning kA jIvana film ko barbAda kara dete haiM . bahuta dukha kI bAta hai ki vaha TaMga AgayA aura sama laigika prema kA zaraNa lete haiM . vo kAma kara sakatA thA , kucha dosta bana sakatA thA , aura khuza raha sakatA thA . yaha to eka bahuta hI mahatpUrNa kahAnI hai . Charles Darwin yA Plato kA yAda dilAte haiM .
oha, maiM vAstava meM rIsa pasaMda hai, yakIna nahIM hai ki kyA mere bAre meM kahatA hai.	arare , mujhe vastumaya rIjha pasaMda hai , lekina vaha mere bAre meM kyA bolate haiM mAlUma nahIM hai
yaha maz2edAra hai lekina Apa Kiera pasaMda nahIM hai.	yaha majAka kI bAta hai lekina Apako kIr3A pasaMda nahIM hai .
maiMne socA ki kambarabaika ne eka mahAna TyUriMga banAyA, lekina yaha maz2edAra hotA agara unhoMne eminema ko kAsTa kiyA hotA|	mujhe lagA ki Cumberbakh ne eka mahAna touring banAyA hai agara vaha eminem DAlate haiM to aura hI majedAra hotA .
phiTanesa bahuta mahatvapUrNa hai| maiM DArvina kA eka bar3A prazaMsaka hUM isalie yaha mujhe kahAnI meM thor3A adhika ruci detA hai|	Fitness bahuta jarUrI hai . meM Darwin kA bar3A prazaMsaka hai jise mujhe kahAnI meM aura dilacaspI huI .
khaira, DArvina ke pAsa bIgala para eka kaThina samaya thA| vaha kaptAna kA vizeSa paricAraka thA, jo eka mAMga vAlI naukarI thI, agara Apa jAnate haiM ki merA kyA matalaba hai|	bar3hiyA , darwin kA burA time thA bagala para . vaha captain kA special steward thA , jo ki eka demanding job thI , agara tuma jAnate ho ki merA kyA matalaba hai
haॉlIvuDa ke sabhI kapar3oM ne isake bAre meM bahuta acchI bAta kI thI|	Hollywood kI sArI newspaper usakI baDI baDI karate dikhAI dete haiM
phiTanesa kA unakA siddhAMta mUla rUpa se kaptAna ke sAtha unake saMbaMdha aura jIvana meM unake sthAna ke lie eka sAdRzya thA, aura unake svayaM ke jIvana meM eka ucca sthAna ke lie vikAsa kI unakI bhAvanA| vaha nizcita rUpa se eka dilacaspa sAthI thA|	usakI theory daraasala eka analogy thI usake captain and station ke life ke lie , aura usakI apanI life meM evolution to a higher station kI feeling ke lie . vo vAqaI eka interesting AdamI thA
mujhe gaMbhIratA se yaha TyUriMga philma pasaMda thI| Apako ise dekhanA hogA!!!	seriously mujhe turning movie pasaMda AI . tumheM dekhanI hogI
